index,kind,channel,wa_GHz,wb_GHz,w_snail_GHz,spec_GHz,detuning_GHz,w_p_GHz,lam_spec,drag,drag_applied,drag_compare_window,eta_peak,g_iswap_eff_MHz,nearest_beat_GHz,nearest_kind,nearest_target,g_collision_MHz,status,F_avg,leakage,F_avg_drag,leakage_drag,dF_drag,n_spec,n_coupler,p_transfer,t_g_ns,wall_s
45,target,qubit_qubit,3.5,4.1,4.7,4.25,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.15,onepump,a,2.0,ok,0.36245748635509234,0.24284157771973947,,,,0.0004696256347719619,0.0022510597628300297,0.286570227600315,500.0,510.04743099212646
46,target,qubit_qubit,3.5,4.1,4.7,5.25,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.55,onepump,b,2.0,ok,0.36092283604695163,0.2337756823658077,,,,0.0001860440433480581,0.0006890226142158707,0.20104230849664204,500.0,546.7673606872559
47,target,qubit_qubit,3.5,4.1,4.7,5.35,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.65,onepump,b,2.0,ok,0.36593932796865625,0.24210562381176648,,,,7.536382897548181e-05,0.00527441614539259,0.3565164457833851,500.0,546.754536151886
48,target,qubit_qubit,3.5,4.1,4.7,5.45,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.75,onepump,b,2.0,ok,0.36572822605635014,0.24148592304883088,,,,0.0002801781386958028,0.0009040838961237447,0.30804419404899513,500.0,551.4638183116913
49,target,qubit_qubit,3.5,4.1,4.7,5.55,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.85,onepump,b,2.0,ok,0.36566389154582135,0.2412390344238391,,,,0.000198392854375384,0.002397968147055475,0.2968830469672878,500.0,579.538896560669
50,target,qubit_qubit,3.5,4.1,4.7,3.75,0.6,0.6,0.2,False,False,False,0.27778,1.0,0.25,static,a,2.0,ok,0.36596708519028265,0.23856890845550305,,,,0.00012244527764065203,0.005764627741537721,0.284159991740375,500.0,503.4651002883911
51,target,qubit_qubit,3.5,4.1,4.7,3.85,0.6,0.6,0.2,False,False,False,0.27778,1.0,-0.25,onepump,a,2.0,ok,0.3648293066729809,0.24009914371662833,,,,0.00027754276588852554,0.00723997822502371,0.2830534835300043,500.0,500.68433117866516
52,target,qubit_qubit,3.5,4.1,4.7,3.95,0.6,0.6,0.2,False,False,False,0.27778,1.0,-0.15,onepump,a,2.0,ok,0.3676329101734363,0.2367564727175232,,,,0.00017380714460101811,0.002372620466910179,0.28183818887267914,500.0,502.27210569381714
53,target,qubit_qubit,3.5,4.1,4.7,4.05,0.6,0.6,0.2,False,False,True,0.27778,1.0,-0.05,onepump,a,2.0,drag_compare,0.37213199642566464,0.23177609513627528,0.37023910098776514,0.23618400609499224,-0.0018928954378995,0.00046884789182268226,0.001064030313974775,0.27237049364423127,500.0,1018.3986372947693
54,target,qubit_qubit,3.5,4.1,4.7,4.15,0.6,0.6,0.2,False,False,True,0.27778,1.0,0.05,onepump,a,2.0,drag_compare,0.3679099642146642,0.23680968190286467,0.36750033317193315,0.23222699647705347,-0.0004096310427310623,0.00015033882933396662,0.006452653330365809,0.29189073036856306,500.0,1014.114315032959
